Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
hcc1395_normal_rep1_r1	43.30940605987149	54.0	151.0	25.0	331958.0
hcc1395_normal_rep1_r2	38.918458683267446	54.0	151.0	16.666666666666664	331958.0
hcc1395_normal_rep2_r1	43.02453721337191	54.0	151.0	25.0	331958.0
hcc1395_normal_rep2_r2	40.14366809107719	54.0	151.0	25.0	331958.0
hcc1395_normal_rep3_r1	44.060972046245496	54.0	151.0	33.33333333333333	331956.0
hcc1395_normal_rep3_r2	38.963504631547806	54.0	151.0	16.666666666666664	331956.0
hcc1395_tumor_rep1_r1	46.52927183169284	53.0	151.0	25.0	390607.0
hcc1395_tumor_rep1_r2	42.81884759605279	53.0	151.0	16.666666666666664	390607.0
hcc1395_tumor_rep2_r1	46.78274731144949	53.0	151.0	16.666666666666664	390607.0
hcc1395_tumor_rep2_r2	44.160188407706066	53.0	151.0	16.666666666666664	390607.0
hcc1395_tumor_rep3_r1	47.388210568453125	53.0	151.0	16.666666666666664	390607.0
hcc1395_tumor_rep3_r2	43.49038633693721	53.0	151.0	16.666666666666664	390607.0
